Username,Grade,Attempt Number,Date,Status,Duration
20150070,3 ,1,9/18/2015 11:03,Completed,0:00:51
20151117,1 ,1,9/19/2015 1:34,Completed,0:04:51
20151117,3 ,2,9/19/2015 1:36,Completed,0:01:22
20150678,3 ,1,8/5/2015 21:40,Completed,0:01:45
20150782,1 ,1,8/6/2015 21:04,Completed,0:02:21
20150782,1 ,2,7/30/2015 21:47,Completed,0:11:30
20150782,2 ,3,7/31/2015 20:38,Completed,0:00:44
20150782,1 ,4,8/6/2015 21:01,Completed,0:06:52
20150782,2 ,5,8/6/2015 21:08,Completed,0:03:07
20150782,0 ,6,8/6/2015 21:26,Completed,0:17:22
20150782,3 ,7,9/9/2015 18:58,Completed,0:00:35
20151120,1 ,1,9/16/2015 4:34,Completed,0:14:39
20151119,2 ,1,9/19/2015 12:05,Completed,0:00:59
20151119,0 ,2,9/19/2015 12:03,Completed,0:01:23
20151119,3 ,3,9/19/2015 12:04,Completed,0:01:04
20150028,2 ,1,8/2/2015 13:54,Completed,0:07:35
20150028,2 ,2,8/6/2015 11:53,Completed,0:17:39
20150028,2 ,3,8/2/2015 13:55,Completed,0:00:26
20150028,0 ,4,8/9/2015 18:26,Completed,0:17:18
20150273,3 ,1,9/18/2015 10:14,Completed,0:05:22
20150273,2 ,2,9/18/2015 10:15,Completed,0:00:37
20150273,3 ,3,9/19/2015 13:38,Completed,0:01:19
20150273,2 ,4,9/19/2015 13:39,Completed,0:00:19
20150635,0 ,1,8/4/2015 19:37,Completed,0:01:33
20150635,3 ,2,9/19/2015 13:00,Completed,0:00:45
20150635,3 ,3,9/19/2015 13:01,Completed,0:00:59
20150635,3 ,4,9/19/2015 13:02,Completed,0:00:24
20150635,3 ,5,9/19/2015 13:04,Completed,0:00:16
20150635,1 ,6,8/4/2015 19:34,Completed,0:03:08
20150635,1 ,7,8/4/2015 19:35,Completed,0:00:35
20150635,3 ,8,8/4/2015 19:38,Completed,0:01:03
20150635,2 ,9,8/4/2015 19:45,Completed,0:01:30
20150635,2 ,10,8/4/2015 19:42,Completed,0:01:34
20150635,2 ,11,8/4/2015 19:43,Completed,0:00:32
20150635,3 ,12,8/4/2015 19:46,Completed,0:00:30
20150635,3 ,13,9/19/2015 13:03,Completed,0:00:24
20150635,3 ,14,8/4/2015 19:48,Completed,0:00:23
20150635,3 ,15,8/4/2015 19:48,Completed,0:00:26
20150635,3 ,16,8/4/2015 19:49,Completed,0:00:23
20150635,3 ,17,8/4/2015 19:50,Completed,0:01:09
20150118,3 ,1,8/2/2015 0:41,Completed,0:03:29
20150542,3 ,1,9/13/2015 19:13,Completed,0:02:55
20151121,3 ,1,9/19/2015 0:37,Completed,0:01:04
20151121,2 ,2,8/9/2015 12:10,Completed,0:01:03
20151121,2 ,3,8/9/2015 12:18,Completed,0:02:04
20151121,3 ,4,8/9/2015 12:19,Completed,0:00:31
20151121,3 ,5,9/19/2015 0:38,Completed,0:00:35
20150343,2 ,1,8/9/2015 23:36,Completed,0:04:39
20150072,3 ,1,9/8/2015 22:35,Completed,0:00:16
20150072,2 ,2,8/4/2015 9:17,Completed,0:00:34
20150072,3 ,3,8/4/2015 9:18,Completed,0:00:22
20150072,2 ,4,9/8/2015 22:30,Completed,0:00:53
20150072,3 ,5,9/8/2015 22:30,Completed,0:00:22
20150072,2 ,6,9/8/2015 22:33,Completed,0:02:39
20150072,3 ,7,9/8/2015 22:34,Completed,0:00:27
20150072,3 ,8,9/8/2015 22:34,Completed,0:00:11
20150274,2 ,1,8/5/2015 17:33,Completed,0:01:36
20150410,3 ,1,8/5/2015 18:31,Completed,0:04:57
20150410,0 ,2,8/5/2015 21:25,Completed,0:00:11
20150410,0 ,3,8/5/2015 21:41,Completed,0:15:02
20150410,0 ,4,8/5/2015 21:25,Completed,0:00:17
20150410,3 ,5,8/9/2015 21:17,Completed,0:00:57
20150410,3 ,6,9/18/2015 22:56,Completed,0:01:05
20150410,1 ,7,9/18/2015 22:57,Completed,0:00:28
20150624,3 ,1,9/17/2015 12:43,Completed,0:03:21
20150624,1 ,2,8/6/2015 19:21,Completed,0:15:02
20150624,3 ,3,8/6/2015 19:37,Completed,0:13:03
20150624,2 ,4,8/6/2015 20:10,Completed,0:05:00
20150624,3 ,5,9/17/2015 12:38,Completed,0:00:43
20150624,2 ,6,9/17/2015 12:39,Completed,0:01:04
20150333,2 ,1,9/14/2015 20:20,Completed,0:02:15
20150365,2 ,1,8/3/2015 17:09,Completed,0:01:03
20150365,3 ,2,8/3/2015 17:09,Completed,0:00:21
20150340,3 ,1,9/17/2015 21:57,Completed,0:05:48
20150340,3 ,2,8/8/2015 10:32,Completed,0:01:48
20150368,2 ,1,9/17/2015 14:45,Completed,0:00:41
20150368,1 ,2,8/9/2015 23:52,Completed,0:07:10
20150368,2 ,3,9/17/2015 14:46,Completed,0:00:18
20150368,2 ,4,9/17/2015 22:50,Completed,0:01:33
20150368,2 ,5,9/17/2015 14:47,Completed,0:00:45
20150368,3 ,6,9/17/2015 21:54,Completed,0:00:50
20150368,1 ,7,9/17/2015 22:06,Completed,0:05:31
20150368,2 ,8,9/17/2015 22:00,Completed,0:05:04
20150368,3 ,9,9/17/2015 22:11,Completed,0:01:24
20150368,2 ,10,9/17/2015 22:26,Completed,0:15:01
20150368,2 ,11,9/17/2015 22:46,Completed,0:04:16
20150368,0 ,12,9/17/2015 22:47,Completed,0:00:06
20150368,0 ,13,9/17/2015 22:49,Completed,0:00:55
20150368,0 ,14,9/18/2015 17:32,Completed,0:00:15
20150368,3 ,15,9/18/2015 17:33,Completed,0:01:02
20150922,2 ,1,9/18/2015 12:12,Completed,0:00:46
