Username,Grade,Attempt Number,Date,Status,Duration
20150070,0 ,1,9/18/2015 11:11,Completed,0:04:17
20151117,1 ,1,9/19/2015 1:55,Completed,0:07:01
20150678,2 ,1,8/5/2015 22:11,Completed,0:06:58
20150782,0 ,1,8/6/2015 21:31,Completed,0:17:10
20150782,1 ,2,9/9/2015 19:29,Completed,0:05:10
20150782,1 ,3,9/9/2015 19:43,Completed,0:13:39
20151120,2 ,1,9/16/2015 4:49,Completed,0:06:59
20151119,3 ,1,9/19/2015 12:15,Completed,0:03:41
20150028,1 ,1,8/2/2015 14:29,Completed,0:15:01
20150028,0 ,2,8/6/2015 15:18,Completed,0:10:07
20150028,1 ,3,8/6/2015 15:22,Completed,0:03:48
20150028,0 ,4,8/6/2015 15:38,Completed,0:14:24
20150028,0 ,5,8/6/2015 15:56,Completed,0:17:27
20150028,0 ,6,8/9/2015 18:26,Completed,0:17:00
20150273,2 ,1,9/18/2015 10:22,Completed,0:06:50
20150273,2 ,2,9/18/2015 10:27,Completed,0:01:57
20150273,1 ,3,9/19/2015 13:42,Completed,0:01:00
20150635,3 ,1,8/4/2015 19:18,Completed,0:04:59
20150635,1 ,2,8/4/2015 21:01,Completed,0:01:48
20150635,2 ,3,8/4/2015 21:03,Completed,0:01:45
20150635,3 ,4,8/4/2015 21:05,Completed,0:00:51
20150635,2 ,5,8/4/2015 21:06,Completed,0:00:56
20150635,3 ,6,9/6/2015 20:36,Completed,0:01:47
20150635,2 ,7,9/6/2015 20:37,Completed,0:00:31
20150635,2 ,8,9/19/2015 13:06,Completed,0:00:23
20150635,1 ,9,9/19/2015 13:07,Completed,0:00:16
20150542,0 ,1,9/13/2015 19:45,Completed,0:15:00
20151121,1 ,1,8/9/2015 13:43,Completed,0:04:25
20151121,1 ,2,8/9/2015 13:53,Completed,0:08:09
20151121,3 ,3,8/9/2015 13:59,Completed,0:05:32
20151121,0 ,4,9/19/2015 0:56,Completed,0:17:09
20150343,3 ,1,8/10/2015 0:03,Completed,0:08:08
20150072,3 ,1,8/4/2015 9:23,Completed,0:01:42
20150072,3 ,2,9/8/2015 22:41,Completed,0:01:42
20150274,2 ,1,8/5/2015 17:51,Completed,0:01:47
20150274,0 ,2,9/19/2015 14:58,Completed,0:15:06
20150410,3 ,1,8/5/2015 18:52,Completed,0:03:28
20150410,3 ,2,8/9/2015 21:27,Completed,0:03:28
20150410,1 ,3,9/18/2015 23:29,Completed,0:17:09
20150624,2 ,1,8/6/2015 21:21,Completed,0:04:12
20150624,0 ,2,9/17/2015 13:23,Completed,0:11:39
20150624,3 ,3,9/17/2015 13:33,Completed,0:09:28
20150624,2 ,4,9/17/2015 13:34,Completed,0:00:40
20150333,0 ,1,9/14/2015 20:32,Completed,0:03:25
20150365,3 ,1,8/3/2015 17:20,Completed,0:06:08
20150340,3 ,1,8/8/2015 11:03,Completed,0:05:43
20150340,1 ,2,9/17/2015 22:24,Completed,0:15:01
20150340,3 ,3,9/17/2015 22:36,Completed,0:07:47
20150368,1 ,1,9/18/2015 0:09,Completed,0:07:52
20150922,0 ,1,9/18/2015 12:24,Completed,0:04:00
20150567,3 ,1,8/5/2015 21:56,Completed,0:06:23
20150567,3 ,2,8/5/2015 21:57,Completed,0:00:13
20150567,0 ,3,8/9/2015 12:07,Completed,0:15:03
20150567,2 ,4,8/9/2015 12:16,Completed,0:08:34
20150567,2 ,5,9/19/2015 12:19,Completed,0:01:01
20151060,2 ,1,8/5/2015 11:58,Completed,0:06:00
20150622,1 ,1,8/8/2015 19:22,Completed,0:01:36
20150622,1 ,2,8/9/2015 10:56,Completed,0:17:08
20150609,3 ,1,8/6/2015 15:22,Completed,0:04:24
20150609,2 ,2,8/6/2015 15:28,Completed,0:04:49
20150609,3 ,3,8/6/2015 15:33,Completed,0:03:15
20150108,1 ,1,8/8/2015 14:04,Completed,0:04:35
20150500,3 ,1,9/9/2015 14:08,Completed,0:03:46
20150722,1 ,1,8/7/2015 16:45,Completed,0:02:26
20150722,3 ,2,8/7/2015 16:49,Completed,0:03:06
20150722,3 ,3,9/17/2015 21:42,Completed,0:02:12
20150722,3 ,4,9/19/2015 11:26,Completed,0:02:03
20151006,2 ,1,8/6/2015 20:24,Completed,0:15:01
20151006,3 ,2,8/10/2015 2:51,Completed,0:09:32
20151006,2 ,3,8/10/2015 2:52,Completed,0:00:34
20151006,3 ,4,8/10/2015 3:03,Completed,0:10:00
