Username,Grade,Attempt Number,Date,Status,Duration
20150816,2 ,1,9/18/2015 15:43,Completed,0:01:49
20150816,3 ,2,9/18/2015 15:48,Completed,0:01:23
20150816,3 ,3,9/18/2015 15:48,Completed,0:00:34
20150070,2 ,1,9/16/2015 21:35,Completed,0:00:53
20150070,1 ,2,8/27/2015 11:30,Completed,0:01:05
20150070,1 ,3,8/27/2015 11:33,Completed,0:01:17
20151117,2 ,1,9/19/2015 14:21,Completed,0:01:44
20151117,2 ,2,9/19/2015 14:19,Completed,0:03:43
20150964,3 ,1,8/23/2015 12:50,Completed,0:00:40
20150782,3 ,1,9/16/2015 19:28,Completed,0:01:03
20150782,1 ,2,9/16/2015 19:29,Completed,0:00:18
20150782,2 ,3,8/18/2015 21:58,Completed,0:00:58
20150782,2 ,4,8/18/2015 22:00,Completed,0:01:15
20150782,1 ,5,8/18/2015 22:02,Completed,0:01:19
20150782,0 ,6,8/23/2015 19:14,Completed,0:00:08
20150782,0 ,7,8/23/2015 19:15,Completed,0:00:10
20150782,0 ,8,8/23/2015 19:18,Completed,0:00:18
20150782,0 ,9,8/23/2015 19:15,Completed,0:00:12
20150782,0 ,10,8/23/2015 19:16,Completed,0:00:10
20150782,0 ,11,8/23/2015 19:16,Completed,0:00:13
20150782,0 ,12,8/23/2015 19:17,Completed,0:00:12
20150782,0 ,13,8/23/2015 19:18,Completed,0:00:15
20150782,3 ,14,9/16/2015 19:20,Completed,0:02:11
20150782,1 ,15,9/16/2015 19:25,Completed,0:03:20
20150782,3 ,16,9/16/2015 19:28,Completed,0:00:42
20150782,0 ,17,9/16/2015 19:30,Completed,0:00:12
20150782,1 ,18,9/16/2015 19:31,Completed,0:00:27
20150782,2 ,19,9/16/2015 19:32,Completed,0:01:29
20150782,2 ,20,8/19/2015 21:00,Completed,0:00:38
20150782,2 ,21,8/19/2015 21:02,Completed,0:01:30
20150782,0 ,22,8/23/2015 19:11,Completed,0:00:12
20150782,0 ,23,8/23/2015 19:11,Completed,0:00:10
20150782,0 ,24,8/23/2015 19:12,Completed,0:00:26
20150782,0 ,25,8/23/2015 19:13,Completed,0:00:15
20150782,0 ,26,8/23/2015 19:14,Completed,0:00:08
20150782,0 ,27,8/23/2015 19:13,Completed,0:00:10
20151120,2 ,1,8/23/2015 10:57,Completed,0:08:22
20151120,2 ,2,9/16/2015 20:04,Completed,0:10:33
20151120,2 ,3,8/23/2015 11:04,Completed,0:04:28
20150792,3 ,1,8/24/2015 1:08,Completed,0:01:02
20150792,0 ,2,8/24/2015 0:59,Completed,0:15:03
20151119,0 ,1,8/24/2015 3:38,Completed,0:21:02
20151119,2 ,2,9/19/2015 13:48,Completed,0:01:46
20151119,1 ,3,9/19/2015 13:49,Completed,0:01:01
20151119,3 ,4,9/19/2015 13:50,Completed,0:00:32
20150028,2 ,1,8/16/2015 9:35,Completed,0:01:41
20150028,1 ,2,8/16/2015 9:31,Completed,0:01:27
20150028,1 ,3,8/19/2015 9:06,Completed,0:04:59
20150028,1 ,4,8/19/2015 9:09,Completed,0:03:08
20150028,1 ,5,8/19/2015 9:12,Completed,0:02:05
20150028,2 ,6,8/19/2015 9:15,Completed,0:02:47
20150028,1 ,7,8/19/2015 9:18,Completed,0:02:27
20150028,3 ,8,8/19/2015 19:40,Completed,0:04:18
20150273,3 ,1,9/18/2015 18:28,Completed,0:01:09
20150273,3 ,2,9/18/2015 18:35,Completed,0:01:13
20150273,3 ,3,9/18/2015 17:11,Completed,0:06:19
20150273,0 ,4,9/18/2015 18:31,Completed,0:02:52
20150273,3 ,5,9/18/2015 18:36,Completed,0:01:03
20150273,3 ,6,9/19/2015 14:37,Completed,0:01:09
20150273,1 ,7,8/25/2015 20:53,Completed,0:09:07
20150273,0 ,8,8/25/2015 20:55,Completed,0:01:42
20150635,1 ,1,8/18/2015 14:40,Completed,0:01:37
20150635,2 ,2,8/18/2015 14:43,Completed,0:01:22
20150635,2 ,3,8/18/2015 14:45,Completed,0:00:54
20150635,2 ,4,8/18/2015 14:47,Completed,0:00:42
20150635,2 ,5,8/18/2015 14:52,Completed,0:02:26
20150635,2 ,6,8/18/2015 14:54,Completed,0:00:40
20150635,2 ,7,9/19/2015 13:46,Completed,0:00:37
20150635,2 ,8,8/18/2015 15:05,Completed,0:00:41
20150635,1 ,9,8/18/2015 14:34,Completed,0:01:12
20150635,1 ,10,8/18/2015 14:38,Completed,0:02:15
20150635,3 ,11,8/18/2015 14:58,Completed,0:00:56
20150635,2 ,12,8/18/2015 15:01,Completed,0:00:23
20150635,2 ,13,8/18/2015 15:02,Completed,0:00:42
20150635,3 ,14,8/18/2015 15:04,Completed,0:01:23
20150635,3 ,15,8/18/2015 15:06,Completed,0:00:36
20150635,3 ,16,8/18/2015 15:09,Completed,0:00:25
20150635,3 ,17,8/18/2015 15:11,Completed,0:00:37
20150635,3 ,18,9/19/2015 13:45,Completed,0:00:26
20150635,3 ,19,9/19/2015 13:46,Completed,0:00:32
20150635,3 ,20,9/19/2015 13:47,Completed,0:00:28
20150635,3 ,21,8/18/2015 15:31,Completed,0:00:24
20150542,3 ,1,9/13/2015 22:42,Completed,0:00:47
20151121,2 ,1,9/19/2015 1:12,Completed,0:00:46
20151121,1 ,2,8/16/2015 0:14,Completed,0:01:05
20151121,3 ,3,8/16/2015 0:15,Completed,0:00:43
20151121,1 ,4,9/19/2015 1:09,Completed,0:01:05
20151121,3 ,5,8/20/2015 1:31,Completed,0:01:02
20150343,2 ,1,8/22/2015 17:16,Completed,0:06:03
20150072,3 ,1,9/8/2015 22:59,Completed,0:00:34
20150274,3 ,1,9/19/2015 13:17,Completed,0:01:03
20150410,3 ,1,8/23/2015 12:02,Completed,0:01:24
20150410,2 ,2,8/23/2015 12:04,Completed,0:01:12
20150410,2 ,3,8/23/2015 12:05,Completed,0:00:35
20150410,3 ,4,8/23/2015 12:06,Completed,0:00:37
