Username,Grade,Attempt Number,Date,Status,Duration
20150070,3 ,1,8/27/2015 11:28,Completed,0:00:48
20150782,1 ,1,8/23/2015 19:08,Completed,0:04:29
20150782,1 ,2,8/23/2015 19:26,Completed,0:17:40
20150782,2 ,3,9/16/2015 21:23,Completed,0:03:18
20150782,2 ,4,9/16/2015 21:24,Completed,0:00:48
20150782,1 ,5,9/16/2015 21:37,Completed,0:10:11
20150782,1 ,6,9/16/2015 21:38,Completed,0:00:18
20151120,0 ,1,8/23/2015 12:02,Completed,0:08:03
20151120,0 ,2,8/24/2015 5:04,Completed,0:17:03
20151120,2 ,3,9/18/2015 11:06,Completed,0:15:01
20151120,2 ,4,9/18/2015 11:28,Completed,0:15:01
20151120,3 ,5,9/18/2015 11:36,Completed,0:04:22
20151120,2 ,6,9/18/2015 11:46,Completed,0:09:16
20151120,3 ,7,9/18/2015 11:48,Completed,0:01:19
20150792,1 ,1,8/24/2015 8:03,Completed,0:08:58
20150792,1 ,2,8/24/2015 8:04,Completed,0:01:02
20150792,0 ,3,8/24/2015 8:07,Completed,0:02:51
20150792,1 ,4,8/24/2015 8:08,Completed,0:00:45
20150792,1 ,5,8/24/2015 8:09,Completed,0:00:20
20150792,1 ,6,8/24/2015 8:10,Completed,0:00:40
20151119,0 ,1,9/19/2015 14:08,Completed,0:00:48
20151119,1 ,2,9/19/2015 14:10,Completed,0:01:05
20150028,1 ,1,8/19/2015 9:34,Completed,0:01:54
20150028,1 ,2,8/19/2015 20:31,Completed,0:03:41
20150028,3 ,3,8/19/2015 20:36,Completed,0:03:37
20150273,3 ,1,9/18/2015 19:11,Completed,0:12:48
20150273,3 ,2,9/18/2015 19:14,Completed,0:02:06
20150273,1 ,3,9/19/2015 14:45,Completed,0:02:44
20150273,3 ,4,9/19/2015 14:46,Completed,0:00:28
20150273,3 ,5,9/19/2015 14:48,Completed,0:01:46
20150635,2 ,1,8/19/2015 17:34,Completed,0:01:25
20150635,3 ,2,8/19/2015 17:41,Completed,0:03:30
20150635,2 ,3,8/19/2015 17:46,Completed,0:00:37
20150635,3 ,4,8/19/2015 17:49,Completed,0:02:37
20150635,2 ,5,8/19/2015 17:53,Completed,0:03:14
20150635,3 ,6,8/19/2015 17:55,Completed,0:00:23
20150635,3 ,7,8/19/2015 18:04,Completed,0:09:20
20150635,3 ,8,8/19/2015 18:06,Completed,0:00:57
20150635,3 ,9,8/19/2015 18:07,Completed,0:00:52
20150635,3 ,10,8/19/2015 18:08,Completed,0:00:15
20150635,3 ,11,8/19/2015 18:08,Completed,0:00:26
20150635,3 ,12,8/19/2015 18:10,Completed,0:00:43
20150635,3 ,13,8/19/2015 18:12,Completed,0:00:44
20150635,2 ,14,8/19/2015 18:12,Completed,0:00:31
20150635,3 ,15,8/19/2015 18:13,Completed,0:00:17
20150635,2 ,16,9/19/2015 14:03,Completed,0:00:40
20150635,3 ,17,9/19/2015 14:06,Completed,0:01:21
20150635,3 ,18,9/19/2015 14:09,Completed,0:02:57
20150635,2 ,19,9/19/2015 14:09,Completed,0:00:17
20150635,3 ,20,9/19/2015 14:10,Completed,0:00:18
20150542,1 ,1,9/13/2015 23:15,Completed,0:03:51
20150542,1 ,2,9/13/2015 23:17,Completed,0:01:18
20150542,2 ,3,9/13/2015 23:22,Completed,0:01:59
20151121,3 ,1,8/20/2015 1:47,Completed,0:01:27
20151121,1 ,2,9/19/2015 1:17,Completed,0:00:45
20150343,1 ,1,8/22/2015 23:31,Completed,0:15:01
20150343,2 ,2,8/23/2015 0:15,Completed,0:04:14
20150072,3 ,1,8/24/2015 10:28,Completed,0:06:11
20150072,3 ,2,9/8/2015 23:17,Completed,0:00:35
20150410,2 ,1,8/23/2015 17:44,Completed,0:05:06
20150410,3 ,2,8/23/2015 17:49,Completed,0:01:48
20150410,2 ,3,8/23/2015 17:52,Completed,0:02:12
20150410,3 ,4,8/23/2015 17:53,Completed,0:00:34
20150410,2 ,5,9/19/2015 9:23,Completed,0:00:53
