Username,Grade,Attempt Number,Date,Status,Duration,,,,,,,
20150816,2 ,1,9/17/2015 22:37,Completed,0:01:12,,,,,,,
20150816,2 ,2,9/17/2015 22:38,Completed,0:00:27,,,,,,,
20150816,2 ,3,9/17/2015 22:40,Completed,0:00:59,,,,,,,
20150816,3 ,4,9/17/2015 22:52,Completed,0:00:44,,,,,,,
20150070,1 ,1,9/16/2015 21:44,Completed,0:00:49,,,,,,,
20150070,1 ,2,9/16/2015 21:47,Completed,0:01:06,,,,,,,
20150070,2 ,3,9/16/2015 21:51,Completed,0:01:18,,,,,,,
20151117,2 ,1,9/19/2015 14:36,Completed,0:02:05,,,,,,,
20151117,2 ,2,9/19/2015 14:40,Completed,0:01:08,,,,,,,
20151117,1 ,3,9/19/2015 14:43,Completed,0:01:57,,,,,,,
20150782,3 ,1,8/30/2015 19:02,Completed,0:01:51,,,,,,,
20150782,3 ,2,8/30/2015 19:06,Completed,0:02:42,,,,,,,
20150782,1 ,3,8/30/2015 19:08,Completed,0:01:00,,,,,,,
20150782,3 ,4,8/30/2015 19:09,Completed,0:01:05,,,,,,,
20150782,2 ,5,8/30/2015 19:11,Completed,0:00:46,,,,,,,
20150782,3 ,6,8/30/2015 19:14,Completed,0:02:07,,,,,,,
20150782,3 ,7,8/30/2015 19:17,Completed,0:01:31,,,,,,,
20150782,0 ,8,8/30/2015 19:35,Completed,0:17:08,,,,,,,
20150782,3 ,9,9/16/2015 21:50,Completed,0:01:45,,,,,,,
20151119,2 ,1,9/19/2015 15:22,Completed,0:00:42,,,,,,,
20151119,2 ,2,9/19/2015 15:23,Completed,0:00:59,,,,,,,
20151119,2 ,3,9/19/2015 15:24,Completed,0:00:47,,,,,,,
20151119,1 ,4,9/19/2015 15:26,Completed,0:01:05,,,,,,,
20151119,2 ,5,9/19/2015 15:27,Completed,0:00:41,,,,,,,
20150028,1 ,1,8/23/2015 8:57,Completed,0:00:53,,,,,,,
20150028,1 ,2,8/23/2015 9:00,Completed,0:02:13,,,,,,,
20150028,2 ,3,8/23/2015 9:07,Completed,0:01:40,,,,,,,
20150273,2 ,1,9/18/2015 19:41,Completed,0:05:36,,,,,,,
20150273,2 ,2,9/18/2015 19:48,Completed,0:04:35,,,,,,,
20150273,3 ,3,9/18/2015 20:40,Completed,0:00:57,,,,,,,
20150273,3 ,4,9/18/2015 20:44,Completed,0:03:20,,,,,,,
20150273,3 ,5,9/18/2015 20:45,Completed,0:00:32,,,,,,,
20150273,3 ,6,9/19/2015 14:52,Completed,0:01:30,,,,,,,
20150273,2 ,7,9/19/2015 14:54,Completed,0:01:14,,,,,,,
20150273,2 ,8,9/19/2015 14:59,Completed,0:02:09,,,,,,,
20150635,1 ,1,8/21/2015 19:31,Completed,0:00:32,,,,,,,
20150635,0 ,2,8/21/2015 19:32,Completed,0:00:59,,,,,,,
20150635,2 ,3,8/21/2015 19:33,Completed,0:00:31,,,,,,,
20150635,2 ,4,8/21/2015 19:35,Completed,0:00:51,,,,,,,
20150635,1 ,5,8/21/2015 19:42,Completed,0:01:25,,,,,,,
20150635,2 ,6,8/21/2015 19:44,Completed,0:00:32,,,,,,,
20150635,2 ,7,8/21/2015 19:45,Completed,0:00:40,,,,,,,
20150635,2 ,8,8/21/2015 19:47,Completed,0:00:23,,,,,,,
20150635,3 ,9,8/21/2015 19:48,Completed,0:00:24,,,,,,,
20150635,2 ,10,8/21/2015 19:50,Completed,0:00:37,,,,,,,
20150635,3 ,11,8/21/2015 19:52,Completed,0:00:40,,,,,,,
20150635,3 ,12,8/21/2015 19:56,Completed,0:00:39,,,,,,,
20150635,2 ,13,8/21/2015 19:57,Completed,0:00:43,,,,,,,
20150635,2 ,14,8/21/2015 19:58,Completed,0:00:26,,,,,,,
20150635,3 ,15,8/21/2015 20:04,Completed,0:01:25,,,,,,,
20150635,2 ,16,8/21/2015 20:08,Completed,0:02:17,,,,,,,
20150635,1 ,17,8/21/2015 20:09,Completed,0:00:54,,,,,,,
20150635,1 ,18,8/21/2015 20:11,Completed,0:00:36,,,,,,,
20150635,3 ,19,8/21/2015 20:13,Completed,0:00:21,,,,,,,
20150635,3 ,20,8/21/2015 20:13,Completed,0:00:17,,,,,,,
20150635,2 ,21,8/21/2015 20:14,Completed,0:00:43,,,,,,,
20150635,3 ,22,8/21/2015 20:15,Completed,0:00:31,,,,,,,
20150635,3 ,23,8/21/2015 20:18,Completed,0:00:35,,,,,,,
20150635,3 ,24,8/21/2015 20:24,Completed,0:00:35,,,,,,,
20150635,3 ,25,8/21/2015 20:24,Completed,0:00:20,,,,,,,
20150635,2 ,26,8/21/2015 20:26,Completed,0:00:27,,,,,,,
20150635,3 ,27,8/21/2015 20:27,Completed,0:00:13,,,,,,,
20150635,3 ,28,8/21/2015 20:27,Completed,0:00:18,,,,,,,
20150635,3 ,29,8/21/2015 20:28,Completed,0:00:19,,,,,,,
20150635,2 ,30,8/21/2015 20:29,Completed,0:00:49,,,,,,,
20150635,3 ,31,8/21/2015 20:32,Completed,0:00:19,,,,,,,
20150635,3 ,32,8/21/2015 20:33,Completed,0:00:48,,,,,,,
20150635,3 ,33,8/21/2015 20:35,Completed,0:00:15,,,,,,,
20150635,2 ,34,8/21/2015 20:36,Completed,0:00:29,,,,,,,
20150635,3 ,35,8/21/2015 20:37,Completed,0:00:16,,,,,,,
20150635,3 ,36,8/21/2015 20:38,Completed,0:00:16,,,,,,,
20150635,2 ,37,8/25/2015 7:58,Completed,0:00:34,,,,,,,
20150635,2 ,38,8/25/2015 8:01,Completed,0:00:54,,,,,,,
20150635,3 ,39,8/25/2015 8:02,Completed,0:00:47,,,,,,,
20150635,2 ,40,8/25/2015 8:04,Completed,0:01:14,,,,,,,
20150635,3 ,41,8/25/2015 8:04,Completed,0:00:26,,,,,,,
20150635,3 ,42,8/25/2015 8:06,Completed,0:01:21,,,,,,,
20150635,3 ,43,8/25/2015 8:07,Completed,0:00:21,,,,,,,
20150635,1 ,44,9/16/2015 12:46,Completed,0:00:55,,,,,,,
20150635,2 ,45,9/16/2015 12:48,Completed,0:00:49,,,,,,,
20150635,3 ,46,9/16/2015 12:50,Completed,0:01:35,,,,,,,
20150635,3 ,47,9/16/2015 13:47,Completed,0:00:37,,,,,,,
20150635,2 ,48,9/16/2015 13:48,Completed,0:00:22,,,,,,,
20150635,2 ,49,9/16/2015 13:49,Completed,0:00:34,,,,,,,
20150635,2 ,50,9/16/2015 13:50,Completed,0:00:21,,,,,,,
20150635,3 ,51,9/19/2015 14:12,Completed,0:00:37,,,,,,,
20150635,2 ,52,9/19/2015 14:13,Completed,0:00:27,,,,,,,
20150635,3 ,53,9/19/2015 14:14,Completed,0:00:16,,,,,,,
20150635,2 ,54,9/19/2015 14:15,Completed,0:01:07,,,,,,,
20150635,3 ,55,9/19/2015 14:16,Completed,0:00:18,,,,,,,
20150635,3 ,56,9/19/2015 14:16,Completed,0:00:22,,,,,,,
20150635,2 ,57,9/19/2015 14:17,Completed,0:00:16,,,,,,,
20150542,1 ,1,9/14/2015 15:33,Completed,0:00:44,,,,,,,
20151121,3 ,1,8/31/2015 6:23,Completed,0:00:30,,,,,,,
20151121,2 ,2,9/19/2015 7:59,Completed,0:00:52,,,,,,,
20151121,1 ,3,9/19/2015 8:00,Completed,0:00:54,,,,,,,
20151121,2 ,4,9/19/2015 8:02,Completed,0:01:02,,,,,,,
20151121,2 ,5,9/19/2015 8:04,Completed,0:01:31,,,,,,,
